hour,traffic,weather,events,demand
6,1,2,0,133
19,6,1,1,357
14,5,3,1,410
10,4,3,0,297
7,3,3,1,103
20,1,3,1,210
6,6,2,0,483
18,2,1,0,471
22,8,2,1,460
10,5,1,1,275
10,7,1,0,64
23,2,1,0,273
20,8,2,0,110
3,2,1,1,171
7,4,2,0,326
23,1,3,0,95
2,5,3,1,439
21,9,1,1,343
20,1,2,1,111
1,9,3,1,135
23,8,2,1,495
11,6,2,0,259
5,7,1,0,127
1,3,3,1,251
20,1,1,1,351
0,5,1,1,446
11,2,3,1,272
21,5,3,1,271
11,8,2,0,52
16,9,3,0,55
9,2,2,0,142
15,3,2,0,57
14,3,2,1,477
14,1,3,0,284
18,8,1,1,157
11,6,2,1,210
22,8,1,1,258
19,9,1,0,289
2,5,3,1,380
4,3,1,0,382
18,5,1,0,99
6,5,3,1,60
20,5,2,1,400
8,3,1,1,205
6,4,3,0,119
17,9,1,1,218
3,9,1,0,321
13,2,2,1,117
17,8,1,1,404
8,8,3,0,301
20,7,1,0,97
1,8,2,0,233
19,3,2,0,369
14,6,3,0,236
6,1,2,0,139
11,7,1,1,495
7,1,2,1,381
14,9,3,0,188
2,1,2,1,406
13,1,2,0,138
16,7,2,1,323
3,2,3,1,68
17,5,2,0,360
7,8,2,0,407
3,8,1,0,423
1,3,3,1,203
5,7,2,0,439
21,3,3,1,309
9,6,2,0,157
3,6,2,1,420
21,3,2,1,334
17,7,1,0,108
11,3,1,1,174
1,8,1,1,403
9,4,3,0,322
3,1,3,1,156
13,4,1,0,348
15,7,3,0,294
14,4,2,0,385
7,6,2,0,499
13,9,2,1,467
22,1,1,1,296
7,5,3,1,57
20,7,1,0,190
15,1,3,1,411
12,4,2,1,57
17,6,1,0,401
14,2,3,0,143
20,5,3,1,370
23,1,2,0,476
12,6,1,0,88
8,6,1,0,130
14,4,1,0,236
12,8,2,1,133
0,4,1,0,137
6,8,2,0,291
8,8,2,0,391
23,5,2,0,142
0,4,3,0,135
11,2,1,0,93
7,3,1,0,186
23,3,2,0,470
10,4,2,1,123
18,4,1,0,85
16,5,2,1,150
7,4,1,0,205
2,8,3,0,475
2,6,2,0,304
0,6,1,0,220
4,8,2,1,265
9,7,1,0,219
6,8,1,0,301
8,2,2,1,409
6,9,3,1,371
8,1,1,0,104
7,8,1,1,481
11,4,1,1,140
1,4,3,1,327
0,5,3,0,150
15,8,2,0,204
22,5,3,0,426
22,8,2,1,398
23,1,2,0,413
4,9,3,1,190
2,6,2,0,222
11,3,3,0,59
7,8,2,1,277
21,9,3,0,314
2,6,3,1,487
0,7,2,1,297
2,1,1,0,296
4,5,2,1,204
14,5,3,0,83
13,4,1,0,178
2,6,2,1,209
0,7,2,0,138
4,9,2,1,142
22,1,1,0,376
13,6,3,0,290
6,7,2,0,372
8,3,2,0,453
14,8,2,0,166
14,5,2,1,143
9,9,2,1,212
12,5,3,1,148
18,9,3,1,162
6,4,2,1,408
16,9,1,1,140
19,5,3,0,395
3,9,1,0,255
4,3,3,1,66
22,4,2,1,323
6,9,3,0,222
12,6,2,0,165
14,2,3,0,398
10,7,2,1,230
3,2,2,1,140
12,2,2,1,131
6,1,2,0,373
18,3,1,0,498
21,6,2,1,163
1,8,1,1,306
9,9,1,0,107
12,7,2,0,203
20,4,1,0,414
5,6,3,0,453
11,5,2,1,165
11,8,1,0,392
19,1,2,0,315
10,1,2,0,364
22,6,2,1,252
6,2,1,1,90
0,5,3,0,154
0,1,3,0,438
19,7,1,0,427
12,1,2,1,242
8,4,1,1,450
2,9,1,1,327
6,1,1,0,403
5,4,2,1,286
7,6,1,0,474
8,6,2,0,270
4,8,1,0,117
0,1,3,1,246
18,7,1,0,305
9,1,1,1,188
11,7,3,1,361
23,3,2,0,484
14,8,2,0,198
21,3,1,1,148
23,1,3,0,125
8,8,2,1,331
19,3,1,0,420
16,2,3,1,452
16,1,2,1,158
19,3,2,1,237
11,2,3,1,248
6,2,3,0,352
1,6,3,0,376
2,1,3,1,203
16,2,1,1,89
4,6,3,0,182
16,3,2,0,454
23,4,2,0,181
16,1,1,0,328
16,8,2,0,411
1,7,2,0,133
1,7,3,1,448
21,3,2,0,291
22,3,1,0,165
4,2,3,1,158
0,1,3,0,270
0,7,1,0,441
18,7,3,0,90
1,2,3,0,417
20,7,1,0,196
11,8,3,1,161
5,1,1,0,152
22,9,1,1,95
3,7,2,1,461
22,3,2,0,373
10,8,3,1,427
23,7,3,0,320
16,8,1,1,470
5,6,3,1,434
23,9,1,0,244
4,5,1,0,416
19,3,3,0,329
1,3,1,0,332
5,1,2,0,89
21,8,3,1,496
10,2,2,1,238
15,3,3,1,213
15,8,1,1,73
0,8,3,1,73
8,4,2,1,53
5,4,1,1,372
15,5,3,0,339
2,6,3,0,490
19,5,3,1,482
3,7,2,1,230
18,2,2,0,297
2,7,3,0,165
18,7,1,0,328
19,1,1,0,414
6,7,2,1,118
19,5,1,0,400
8,3,2,1,303
0,3,3,1,230
7,4,2,1,367
6,2,2,0,218
17,2,3,0,362
7,1,1,1,298
0,5,2,1,237
10,4,2,1,103
17,2,3,0,375
22,3,1,1,406
9,7,2,0,362
2,7,3,1,187
6,4,2,1,217
15,5,3,1,440
15,5,1,0,152
19,6,1,0,471
16,9,1,1,134
1,2,1,0,366
0,5,2,1,261
15,3,2,0,52
11,4,1,0,433
4,6,1,0,228
4,8,1,1,391
22,1,2,0,352
8,8,1,0,381
8,7,1,1,87
2,1,1,1,469
18,2,3,1,288
15,3,1,1,218
15,1,3,0,446
2,9,3,0,392
19,8,1,0,363
23,2,3,0,355
21,9,1,0,79
23,7,2,1,239
0,9,2,0,406
23,6,2,0,74
19,6,2,0,161
10,4,3,1,460
16,2,1,1,484
7,7,1,0,255
3,5,1,1,234
5,6,2,1,431
7,2,2,1,428
19,5,1,1,96
2,4,2,1,423
15,9,1,1,277
2,6,1,1,88
17,2,1,0,65
13,1,1,0,71
17,5,1,1,262
1,9,1,0,359
21,6,1,0,198
2,7,2,1,290
15,5,1,0,321
8,6,1,1,108
3,5,2,1,336
0,9,2,1,475
3,6,2,0,251
0,8,1,0,81
13,2,3,0,492
20,9,3,0,211
15,5,2,1,304
19,7,3,1,303
23,1,2,0,58
7,5,1,1,188
6,2,3,1,59
2,6,1,0,263
16,1,3,1,322
0,3,1,0,373
15,5,3,1,97
11,4,1,0,485
18,3,1,1,160
21,5,3,1,202
22,8,1,0,172
21,4,1,0,454
13,1,1,0,406
5,7,3,0,151
5,8,3,1,290
12,3,1,1,370
18,6,1,0,240
21,2,3,1,266
7,7,3,0,100
1,8,1,0,341
20,6,1,1,130
0,6,1,1,432
14,5,2,0,137
0,8,3,0,243
4,1,2,0,153
15,4,3,1,320
18,4,3,1,145
3,3,3,1,472
2,3,3,1,428
16,4,3,0,247
16,1,3,0,50
11,2,3,0,456
13,9,2,0,427
20,2,1,0,216
5,5,1,0,175
2,9,2,1,362
8,9,2,1,130
4,8,2,0,467
23,1,2,0,300
16,1,3,1,218
13,9,1,1,122
20,8,3,1,190
2,9,1,1,119
0,7,1,0,311
19,3,2,0,389
20,3,3,0,357
22,2,2,0,294
0,5,3,0,52
2,3,1,1,386
17,6,2,0,112
9,2,2,1,98
21,3,1,0,125
2,5,1,0,417
7,1,1,0,224
13,1,2,0,158
23,9,3,0,232
17,7,2,1,241
14,1,3,1,114
21,8,2,1,386
22,3,2,0,320
1,8,1,0,149
9,5,3,1,81
1,1,2,0,401
16,7,2,0,177
7,5,1,1,451
0,6,1,0,418
8,6,3,1,388
10,8,2,0,92
21,9,3,1,421
15,2,2,0,468
6,9,3,0,127
9,9,1,1,363
22,7,2,0,338
2,1,3,0,319
17,7,1,1,211
23,5,1,0,238
12,6,3,1,296
6,7,2,0,437
3,5,2,0,265
12,7,1,0,364
19,9,2,0,462
0,3,2,1,388
7,8,2,0,439
13,2,1,1,426
15,7,3,0,482
13,2,2,0,217
11,4,1,0,388
18,7,1,0,242
22,3,3,1,332
14,2,2,1,385
1,7,2,1,439
1,1,3,1,62
22,8,3,0,289
21,3,1,1,369
18,2,1,1,495
21,3,3,0,196
21,5,2,0,253
16,8,1,0,129
19,7,1,0,428
9,7,2,1,92
5,7,1,1,138
14,8,2,0,197
21,1,2,0,144
10,4,2,0,477
4,6,3,1,200
